panel,study,strand_number,strand,strand_key,sequencing_pattern,metric,method,method_raw,mean_score,sd_score,win_mean,win_sd,mean_r2,sd_r2
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,OMspell(expcost=0.25),OMspell_expcost_0.25,0.49516936713620674,0.0031074882354356625,0.9999666666666668,0.00018257418583503528,0.49516936713620674,0.0031074882354356625
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,OMspellRS(expcost=0.25),OMspellRS_expcost_0.25,0.4871000680253804,0.0034214746677807637,0.9999333333333333,0.0002537081317024345,0.4871000680253804,0.0034214746677807637
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,OMspell(expcost=0.50),OMspell_expcost_0.50,0.5021031104889285,0.002937526672313548,1.0,0.0,0.5021031104889285,0.002937526672313548
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,OMspellRS(expcost=0.50),OMspellRS_expcost_0.50,0.4875504131882609,0.0034012948782823397,0.9999333333333333,0.0002537081317024345,0.4875504131882609,0.0034012948782823397
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,OMspell(expcost=0.75),OMspell_expcost_0.75,0.5075628326890552,0.002886866099046179,1.0,0.0,0.5075628326890552,0.002886866099046179
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,OMspellRS(expcost=0.75),OMspellRS_expcost_0.75,0.48798523972616153,0.003382081083975579,0.9999333333333333,0.0002537081317024345,0.48798523972616153,0.003382081083975579
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,OMspell(expcost=1.00),OMspell_expcost_1.00,0.5121626861674581,0.0029037843171963074,1.0,0.0,0.5121626861674581,0.0029037843171963074
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,OMspellRS(expcost=1.00),OMspellRS_expcost_1.00,0.48840533620412785,0.003363775188404177,0.9999333333333333,0.0002537081317024345,0.48840533620412785,0.003363775188404177
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,OMspell(expcost=1.50),OMspell_expcost_1.50,0.5169872247476731,0.0030242319163166454,1.0,0.0,0.5169872247476731,0.0030242319163166454
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,OMspellRS(expcost=1.50),OMspellRS_expcost_1.50,0.4892042348561455,0.0033296753927635732,0.9999333333333333,0.0002537081317024345,0.4892042348561455,0.0033296753927635732
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,OMspell(expcost=2.00),OMspell_expcost_2.00,0.5205517591832456,0.003202558927517083,1.0,0.0,0.5205517591832456,0.003202558927517083
H,study2,5,Calendar-Time Convergence (Early vs Late),sensitivity_convergence_calendar,,normalized_paired_contrast,OMspellRS(expcost=2.00),OMspellRS_expcost_2.00,0.4899524415119825,0.003298608704641078,0.9999333333333333,0.0002537081317024345,0.4899524415119825,0.003298608704641078
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,Hamming,HAM,0.33273254052649653,0.0028883178823626864,1.0,0.0,0.33273254052649653,0.0028883178823626864
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,OM,OM,0.27528096892064136,0.003974962413207296,0.9488666666666667,0.004576803080402508,0.27528096892064136,0.003974962413207296
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,LCP,LCP,0.33273254052649653,0.0028883178823626864,1.0,0.0,0.33273254052649653,0.0028883178823626864
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,RLCP,RLCP,0.0,0.0,0.0,0.0,0.0,0.0
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,LCPmst,LCPmst,0.33273254052649653,0.0028883178823626864,1.0,0.0,0.33273254052649653,0.0028883178823626864
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,RLCPmst,RLCPmst,0.0,0.0,0.0,0.0,0.0,0.0
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,LCPspell(expcost=0.00),LCPspell_expcost_0.00,0.3333333333333334,1.1292025708167404e-16,1.0,0.0,0.3333333333333334,1.1292025708167404e-16
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,RLCPspell(expcost=0.00),RLCPspell_expcost_0.00,0.0,0.0,0.0,0.0,0.0,0.0
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,LCPspell(expcost=0.10),LCPspell_expcost_0.10,0.3333333333333334,1.1292025708167404e-16,1.0,0.0,0.3333333333333334,1.1292025708167404e-16
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,RLCPspell(expcost=0.10),RLCPspell_expcost_0.10,0.0,0.0,0.0,0.0,0.0,0.0
I,study2,6,Spell-Order Divergence (Early vs Late),sensitivity_divergence_spell_order,,normalized_paired_contrast,LCPspell(expcost=0.25),LCPspell_expcost_0.25,0.3333333333333334,1.1292025708167404e-16,1.0,0.0,0.3333333333333334,1.1292025708167404e-16
